;Source Domain;Target Domain;Title;Metaphor;Example
97;motion;progress;Action Is Self-propelled Motion;Progress Is Forward Movement;Let's keep moving forward on this experiment.
98;motion;progress;Action Is Self-propelled Motion;Progress Is Forward Motion;Things are at a standstill.
99;motion;progress;Action Is Self-propelled Motion;Negative Progress Is Backward Movement;We need to backtrack on this problem.
100;goal;success;Action Is Self-propelled Motion;Progress Is Measured In Distance To Destination Or In Distance From Starting Point;She finally reached the end of the dissertation-writing process.
101;goal;success;Action Is Self-propelled Motion;Progress Is Measured In Distance To Destination Or In Distance From Starting Point;After working on the application for days, I finally saw the light at the end of the tunnel.
102;goal;success;Action Is Self-propelled Motion;Progress Is Measured In Distance To Destination Or In Distance From Starting Point;We only have a short ways to go on solving this puzzle.
106;goal;success;Action Is Self-propelled Motion;Progress Is Measured In Distance To Destination Or In Distance From Starting Point;We've made it this far in our efforts to solve the problem.
117;direction;purpose;Action Is Self-propelled Motion;Lack Of Purpose Is Lack Of Direction;He is just floating around.
119;direction;purpose;Action Is Self-propelled Motion;Lack Of Purpose Is Lack Of Direction;He needs some direction.
120;direction;purpose;Action Is Self-propelled Motion;Lack Of Purpose Is Lack Of Direction;She is a drifter with no direction.
136;goal;end of action;Action Is Self-propelled Motion;The End Of Action Is The End Of The Path;We are reaching the end of the house-buying process.
137;goal;end of action;Action Is Self-propelled Motion;The End Of Action Is The End Of The Path;Finally, all my educational goals are in reach.
138;goal;end of action;Action Is Self-propelled Motion;The End Of Action Is The End Of The Path;We are entering the last stages of filing for bankrupcy.
197;alive;active;Active Is Alive;Active Is Alive;The party was really alive
198;alive;active;Active Is Alive;Active Is Alive;The club seems dead tonight
199;alive;active;Active Is Alive;Active Is Alive;Lively, liven (lexical examples)
201;warmth;affection;Affection Is Warmth;Affection Is Warmth;They gave me a warm welcome.
202;warmth;affection;Affection Is Warmth;Affection Is Warmth;He took a while to warm up to me.
207;heat;anger;Anger Is Heat;Anger Is Heat;She's a real hothead.
211;heat;anger;Anger Is Heat;ANGER IS HEAT and BODY IS CONTAINER FOR EMOTIONS;He's just blowing off steam.
219;heat;anger;Anger Is Heat;ANGER IS HEAT and BODY IS CONTAINER FOR EMOTIONS;His eyes smouldered with rage.
225;beings;beliefs;Beliefs Are Beings With A Life Cycle;Beliefs Are Beings With A Life Cycle;The belief lives on.
226;beings;beliefs;Beliefs Are Beings With A Life Cycle;Beliefs Are Beings With A Life Cycle;That belief died out years ago.
227;beings;beliefs;Beliefs Are Beings With A Life Cycle;Beliefs Are Beings With A Life Cycle;That belief was born of the early philosophers.
228;plants;beliefs;Beliefs Are Beings With A Life Cycle;Development Of A Belief Is Growth Of A Plant;This is just the seed of a belief.
232;plants;beliefs;Beliefs Are Beings With A Life Cycle;Development Of A Belief Is Growth Of A Plant;This belief has taken root in my mind.
233;plants;beliefs;Beliefs Are Beings With A Life Cycle;Development Of A Belief Is Growth Of A Plant;This is a flourishing belief in this culture.'
234;plants;beliefs;Beliefs Are Beings With A Life Cycle;Development Of A Belief Is Growth Of A Plant;I planted the belief in his mind.
240;guides;beliefs;Beliefs Are Guides;Beliefs Are Guides;You are governed by your beliefs.
242;guides;beliefs;Beliefs Are Guides;Beliefs Are Guides;There are misleading beliefs.
244;guides;beliefs;Beliefs Are Guides;Beliefs Are Guides;You go by your beliefs.
246;lovers;beliefs;Beliefs Are Love Objects;Considering Believing Is Considering Entering A Relationship;He flirted with a belief in utter hedonism in his youth.
247;lovers;beliefs;Beliefs Are Love Objects;Accepting A Belief Is Entering A Relationship;He embraced that belief wholeheartedly.
250;lovers;beliefs;Beliefs Are Love Objects;A Tempting Belief Is A Tempting Possible Partner;That's a seductive belief.
264;possessions;beliefs;Beliefs Are Possessions;Beliefs Are Possessions;She clings to his beliefs.
266;possessions;beliefs;Beliefs Are Possessions;Beliefs Are Possessions;He acquired most of his beliefs during childhood.
272;possessions;beliefs;Beliefs Are Possessions;Deciding To Believe Is Deciding To Acquire A Possession;I briefly toyed with a belief in a higher power.
278;commodities;beliefs;Beliefs Are Possessions;Believing Is Owning Goods;She took inventory of her beliefs.
279;commodities;beliefs;Beliefs Are Possessions;No Longer Believing Is Selling Out;He sold out his dearest beliefs.
281;commodities;beliefs;Beliefs Are Possessions;Arguing For A Belief Is Trying To Sell It;I almost bought his line.
313;money;causation;Causation Is Commercial Transaction;Having Beneficial Things Happen To One Is Getting Money;He profitted from experience.
314;money;causation;Causation Is Commercial Transaction;Having Detrimental Things Happen To One Is Losing Money;He paid with his life for my mistake.
318;money;causation;Causation Is Commercial Transaction;Causing Detrimental Effects Is Taking Money;Reckless skiing cost her a leg.
326;motion;change;Change Is Motion (location);Change Is Motion (location);He went from innocent to worldly.
328;motion;change;Change Is Motion (location);Change Is Motion (location);He slipped into a depression.
329;motion;change;Change Is Motion (location);Change Is Motion (location);His hair went gray.
341;replacement;change;Change Is Replacement;Change Is Replacement;After the experiment, the water was gone, and hydrogen and oxygen was in its place.
342;replacement;change;Change Is Replacement;Change Is Replacement;Under hypnosis, the sweet old lady was replaced by a scheming criminal.
343;replacement;change;Change Is Replacement;Change Is Replacement;The man I had known was gone, and in his place was an aging fool.
351;whole;coherence;Coherent Is Whole;Coherent Is Whole;His thoughts are scattered.
352;whole;coherence;Coherent Is Whole;Coherent Is Whole;The theory is all over the place.
354;whole;coherence;Coherent Is Whole;Coherent Is Whole;I'm missing a piece of the puzzle.
359;speech;communication;Communication Is Linguistic Communication;Communication Is Linguistic Communication;A picture is worth a thousand words.
360;speech;communication;Communication Is Linguistic Communication;Communication Is Linguistic Communication;He gave me a look that spoke volumes.
361;speech;communication;Communication Is Linguistic Communication;Communication Is Linguistic Communication;What does that painting say to you?
368;writing;communication;Communication Is Linguistic Communication;Communication Is Linguistic Communication;His guilt was written all over his face.
369;writing;communication;Communication Is Linguistic Communication;Communication Is Linguistic Communication;I read more into his actions than actually was there.
371;writing;communication;Communication Is Linguistic Communication;Communication Is Linguistic Communication;Do I have to spell it out for you?
378;scale;comparison;Comparison Of Properties Is Comparison Of Physical Properties;Comparison Of Properties Is Comparison Of Physical Properties;You have to weigh the pros and cons.
379;scale;comparison;Comparison Of Properties Is Comparison Of Physical Properties;Comparison Of Properties Is Comparison Of Physical Properties;The scale just tipped in favor of my voting yes.
383;scale;comparison;Comparison Of Properties Is Comparison Of Physical Properties;Comparison Of Properties Is Comparison Of Physical Properties;TV viewership is higher during prime time than daytime
390;fight;competition;Competition Is 1 On 1 Physical Aggression;Competition Is 1 On 1 Physical Aggression;He clobbered me at tennis.
391;fight;competition;Competition Is 1 On 1 Physical Aggression;Competition Is 1 On 1 Physical Aggression;I beat him at chess.
396;fight;competition;Competition Is 1 On 1 Physical Aggression;Competition Is 1 On 1 Physical Aggression;Those swim teams have been slugging it out all season.
397;race;competition;Competition Is A Race;Competition Is A Race;The arms race.
398;race;competition;Competition Is A Race;Competition Is A Race;We've been playing chess for years, and he's finally pulling ahead of me.
399;race;competition;Competition Is A Race;Competition Is A Race;He's a better writer than I am, and he's widening the distance.
401;war;competition;Competition Is War;Competition Is War;The debate team brought out their big guns.
403;war;competition;Competition Is War;Competition Is War;We took over the ball deep in their territory.
404;war;competition;Competition Is War;Competition Is War;They battled each other over the chess board every week.
405;adherence;compliance;Complience Is Adherence;Complience Is Adherence;He stuck by his word.
406;adherence;compliance;Complience Is Adherence;Complience Is Adherence;He adhered to his contract.
407;following;compliance;Complience Is Following;Complience Is Following;He went along with what he was told to do.
408;following;compliance;Complience Is Following;Complience Is Following;He followed his orders.
413;size;conceit;Conceit Is Inflation;Conceit Is Inflation;He's a stuffed shirt.
414;size;conceit;Conceit Is Inflation;Conceit Is Inflation;She was puffed up with pride.
415;size;conceit;Conceit Is Inflation;Conceit Is Inflation;He was becoming quite grandiose when I left.
420;up;control;Control Is Up;Control Is Up;He is under my power.
421;up;control;Control Is Up;Control Is Up;I'm on top of the situation.
422;up;control;Control Is Up;Control Is Up;I have it all under control.
433;plants;creation;Creation Is Cultivation;Creation Is Cultivation;He planted seeds of doubt in my mind.
434;plants;creation;Creation Is Cultivation;Creation Is Cultivation;Money is the root of all evil.
436;plants;creation;Creation Is Cultivation;Necessary Prerequisites Are Necessary Prerequisties For Plant Life;China is a fertile ground for revolt.
438;disease;belief;Dangerous Beliefs Are Contagious Diseases;Dangerous Beliefs Are Contagious Diseases;the contagion of democratic ideas
439;disease;belief;Dangerous Beliefs Are Contagious Diseases;Believers Are Infected;The children were infected with ideas about socialism.
440;disease;belief;Dangerous Beliefs Are Contagious Diseases;Believers Are Infected;They quarantined the Japanese.
442;cover;darkness;Darkness Is A Cover;Darkness Is A Cover;Under cover of darkness.
443;cover;darkness;Darkness Is A Cover;Darkness Is A Cover;He was enveloped in darkness.
444;cover;darkness;Darkness Is A Cover;Darkness Is A Cover;Darkness closed in over us.
445;solid;darkness;Darkness Is A Solid;Darkness Is A Solid;The darkness was palpable.
446;solid;darkness;Darkness Is A Solid;Darkness Is A Solid;We had to feel our way through the darkness.
449;solid;darkness;Darkness Is A Solid;Darkness Is A Solid;Darkness pressed in on all sides.
451;hunger;desire;Desire Is Hunger;Desire Is Hunger;He was drooling over her.
453;hunger;desire;Desire Is Hunger;Desire Is Hunger;She thirsts for recognition.
455;hunger;desire;Desire Is Hunger;Desire Is Hunger;He hungers for her touch.
457;force;desire;Desires Are Forces Between The Desired And The Desirer;Desires Are Forces Between The Desired And The Desirer;They were drawn to each other.
460;force;desire;Desires Are Forces Between The Desired And The Desirer;The Force May Be Within The Desirer;Something in me pulls me toward the wrong kind of man.
462;force;desire;Desires Are Forces Between The Desired And The Desirer;Sexuality Is A Force Between Desired And Desirer.;I could feel the electricity between us.
468;adversary;difficult subjects;Difficult Subjects Are Adversaries;Difficult Subjects Are Adversaries;I thought it was a tame course, but it turned into a bear.
472;adversary;difficult subjects;Difficult Subjects Are Adversaries;Understanding/learning Is Gaining Physical Control Over The Material;She wasn't able to tackle all the material, so he stayed behind.
473;adversary;difficult subjects;Difficult Subjects Are Adversaries;Understanding/learning Is Gaining Physical Control Over The Material;He successfully conquered the material.
475;container;difficulties;Difficulties Are Containers;Difficulties Are Containers;How did I get myself into this situation?
476;container;difficulties;Difficulties Are Containers;Difficulties Are Containers;We're in this thing together.
477;container;difficulties;Difficulties Are Containers;Difficulties Are Containers;How do we get out of this situation?
483;nausea;disgust;Disgust Is Nausea;Disgust Is Nausea;You make me sick!
484;nausea;disgust;Disgust Is Nausea;Disgust Is Nausea;His behavior made me want to throw up.
485;nausea;disgust;Disgust Is Nausea;Disgust Is Nausea;She's a nauseating person.
486;change;disparity;Disparity Is Change;Disparity Is Change;The phone poles get taller as you approach the freeway.
487;change;disparity;Disparity Is Change;Disparity Is Change;His girlfriends keep getting taller.
488;change;disparity;Disparity Is Change;Disparity Is Change;The president changes every four years.
491;injury;humor;Effects Of Humor Are Injuries;Effects Of Humor Are Injuries;The comedian knocked them over.
494;injury;humor;Effects Of Humor Are Injuries;Effects Of Humor Are Injuries;That joke really slayed me.
495;injury;humor;Effects Of Humor Are Injuries;Effects Of Humor Are Injuries;She nearly died of laughter.
497;motion;emotion;Emotion Is Motion;Emotion Is Motion;I was moved by the poem.
498;motion;emotion;Emotion Is Motion;Emotion Is Motion;I went into transports of joy.
499;motion;emotion;Emotion Is Motion;Emotion Is Motion;You send me.
500;closeness;intimacy;Emotional Intimacy Is Physical Closeness;Emotional Intimacy Is Physical Closeness;I feel close to him.
503;closeness;intimacy;Emotional Intimacy Is Physical Closeness;Emotional Intimacy Is Physical Closeness;He keeps everyone at arms length.
513;closeness;intimacy;Emotional Intimacy Is Physical Closeness;Change Toward Emotional Intimacy Is Movement Toward Physical Closeness;We're drifting apart.
535;object;emotion;Emotional Self Is A Brittle Object;Emotional Self Is A Brittle Object;She was shattered by his death.
537;object;emotion;Emotional Self Is A Brittle Object;Emotional Self Is A Brittle Object;He broke down in tears.
540;object;emotion;Emotional Self Is A Brittle Object;Emotional Self Is A Brittle Object;She fell apart.
546;grounding;emotion stability;Emotional Stability Is Contact With The Ground;Emotional Stability Is Contact With The Ground;She has her feet on the ground.
548;grounding;emotion stability;Emotional Stability Is Contact With The Ground;Emotional Stability Is Contact With The Ground;He felt uprooted.
550;grounding;emotion stability;Emotional Stability Is Contact With The Ground;Emotional Stability Is Contact With The Ground;I'm up in the air.
570;force;emotion;Emotions Are Forces;Emotions Are Physical Forces;I was moved by the poem.
571;force;emotion;Emotions Are Forces;Emotions Are Physical Forces;I was pushed into depression.
572;force;emotion;Emotions Are Forces;Emotions Are Physical Forces;She was carried away by the song.
578;up;euphoria;Euphoric States Are Up;Euphoric States Are Up;He's really high.
579;up;euphoria;Euphoric States Are Up;Euphoric States Are Up;She's coming down
581;location;existence;Existence Is A Location (here);Existence Is A Location (here);It came into existence.
583;location;existence;Existence Is A Location (here);Existence Is A Location (here);The baby is due any day.
587;location;existence;Existence Is A Location (here);Existence Is A Location (here);The question simply doesn't arise here.
598;visibility;existence;Existence Is Visibility;Existence Is Visibility;New problems keep appearing.
599;visibility;existence;Existence Is Visibility;Existence Is Visibility;Suddenly my headache vanished.
601;visibility;existence;Existence Is Visibility;Existence Is Visibility;The controversy eventually faded away.
605;cover;facial expression;External Appearance Is A Cover;Facial Expressions Are Covers;Wipe that smile off your face.
606;cover;facial expression;External Appearance Is A Cover;Facial Expressions Are Covers;Put on a happy face.
611;cover;facial expression;External Appearance Is A Cover;Facial Expressions Are Covers;The disquiteting expression was lifted from her face.
623;weather;adversity;External Conditions Are Climate;External Conditions Are Climate;The climate is right for a takeover.
624;weather;adversity;External Conditions Are Climate;External Conditions Are Climate;The economic forecast is favorable.
625;weather;adversity;External Conditions Are Climate;External Conditions Are Climate;It rained on my parade.
637;cold;fear;Fear Is Cold;Fear Is Cold;He had cold feet
638;cold;fear;Fear Is Cold;Fear Is Cold;Her blood ran cold
639;cold;fear;Fear Is Cold;Fear Is Cold;A cold stab of fear went through me
658;motion;shape;Form Is Motion;Form Is Motion;The tower leans.
659;motion;shape;Form Is Motion;Form Is Motion;The road bends.
660;motion;shape;Form Is Motion;Form Is Motion;The roof slopes down before it drops off steeply.
663;competition;sex;Gaining Physical Intimacy (against Resistance) Is A Competition;Sex Is An Achievement;Did you score last night?
664;competition;sex;Gaining Physical Intimacy (against Resistance) Is A Competition;Sex Is An Achievement;He couldn't get to first base with her.
671;competition;sex;Gaining Physical Intimacy (against Resistance) Is A Competition;Sex Is An Achievement;She surrendered to him.
673;eating;getting;Getting Is Eating;Getting Is Eating;Cough up the money you owe me!
674;eating;getting;Getting Is Eating;Getting Is Eating;I've been feeding him funds illegally for a year.
678;location;harm;Harm Is Being In A Harmful Location;Harm Is Being In A Harmful Location;I am in trouble.
680;location;harm;Harm Is Being In A Harmful Location;Harm Is Being In A Harmful Location;He's on thin ice.
684;location;harm;Harm Is Being In A Harmful Location;Being Harmed Is Being Forced To Move To A Harmful Location;They're driving me over the edge.
685;destruction;harm;Harm Is Causing Functional Objects To Be Nonfunctional;Harm Is Causing Functional Objects To Be Nonfunctional;He crushed the rebellion.
687;destruction;harm;Harm Is Causing Functional Objects To Be Nonfunctional;Harm Is Causing Functional Objects To Be Nonfunctional;The theory was cut to pieces.
688;destruction;harm;Harm Is Causing Functional Objects To Be Nonfunctional;Harm Is Causing Functional Objects To Be Nonfunctional;She wrecked our marriage.
693;possessions;harm;Harm Is Having A Harmful Possession;Being Harmed Is Being Given An Undesirable Possession;The noise gave him a headache.
694;possessions;harm;Harm Is Having A Harmful Possession;Being Harmed Is Being Given An Undesirable Possession;My car gave me a lot of trouble yesterday.
700;possessions;harm;Harm Is Lacking A Needed Possession;Harm Is Lacking A Needed Possession;If you don't have your health, what have you got?
713;injury;harm;Harm Is Physical Injury;Restitution Is Healing;She recovered from the wound to her psyche, but scars remained.
715;injury;harm;Harm Is Physical Injury;Restitution Is Healing;Americans can expect painful cutbacks with the recession.
716;injury;harm;Harm Is Physical Injury;Restitution Is Healing;My stock portfolio is very healthy.
727;prey;harm;Harm Is Physical Injury;Person In Situation Is The Prey;I feel like a little fish surrounded by sharks.
728;prey;harm;Harm Is Physical Injury;Person In Situation Is The Prey;If that player goes in, he'll be dead meat!
730;prey;harm;Harm Is Physical Injury;Person In Situation Is The Prey;The FBI lay in wait of their quarry for days.
733;predators;competitors;Harm Is Physical Injury;Competators Or Antagonists Are Predators;I said one thing and they pounced on me like a pack of dingos.
736;predators;competitors;Harm Is Physical Injury;A Difficult Situation Is Place Where Predation Occurs;You're moving into shark infested waters.
737;predators;competitors;Harm Is Physical Injury;A Difficult Situation Is Place Where Predation Occurs;The conference room is a real snake pit today.
746;path;harm;Harm Is Preventing Forward Motion Toward A Goal.;Reducing The Effect Of Future Harm Is Giving A Headstart;How am I supposed to learn anything if the school keeps placing roadblocks in my way?
748;path;harm;Harm Is Preventing Forward Motion Toward A Goal.;Reducing The Effect Of Future Harm Is Giving A Headstart;Her accident was an enormous setback to her career.
752;path;harm;Harm Is Preventing Forward Motion Toward A Goal.;Reducing The Effect Of Future Harm Is Giving A Headstart;It's hard to reach the top when you're saddled with an unwanted baby.
762;possessions;hope;Hope Is A Benefical Possession;Being Hopeful/hopeless Is Having/not Having Hope;I've lost all hope of a solution.
763;possessions;hope;Hope Is A Benefical Possession;Being Hopeful/hopeless Is Having/not Having Hope;He recovered his hopes for a peace on earth.
770;possessions;hope;Hope Is A Benefical Possession;Strength Of Hope Is Strength Of An Object;Her hopes were crushed.
774;light;hope;Hope Is Light;Hope Is Light;The clouds were a glimmer of hope that rain might come.
775;light;hope;Hope Is Light;Hope Is Light;He has bright hopes.
776;light;hope;Hope Is Light;Hope Is Light;I have a very dim hope that he'll recover.
780;food;ideas;Ideas Are Food;Ideas Are Food;She gave us some brain food.
783;food;ideas;Ideas Are Food;Thinking Is Preparing Food;Let me chew on that for a while.
789;food;ideas;Ideas Are Food;Communication Is Feeding;We have a live satellite feed from London.
803;motion;ideas;Ideas Are Locations;Thinking Is Manipulating An Object;I'm playing with the idea of a trip to Hawaii.
804;motion;ideas;Ideas Are Locations;Thinking Is Moving In The Ideascape;Don't jump to conclusions.
819;motion;ideas;Ideas Are Locations;Thinking Is Moving In The Ideascape;She's got a one-track mind
823;object;ideas;Ideas Are Objects;Ideas Are Objects;Sally gave the idea to Sam.
827;object;ideas;Ideas Are Objects;Ideas Are Objects;IBM bought the idea from him.
835;container;ideas;Ideas Are Objects;The Mind Is A Container For Objects;I can't get this idea out of my mind.
836;container;ideas;Ideas Are Objects;The Mind Is A Container For Objects;What did you have in mind?
876;seeing;understanding;Ideas Are Perceptions;Understanding Is Seeing;Can you shed more light on this issue? I don't quite see what you are talking about.
878;seeing;understanding;Ideas Are Perceptions;Understanding Is Seeing;She finally opened her eyes to what was going on around her.
880;seeing;understanding;Ideas Are Perceptions;Understanding Is Seeing;He sees only what he wants to see.
904;light;intelligence;Intelligence Is A Light Source;Intelligence Is A Light Source;He is very bright.
905;light;intelligence;Intelligence Is A Light Source;Intelligence Is A Light Source;He can always shed light on the problem.
906;light;intelligence;Intelligence Is A Light Source;Intelligence Is A Light Source;I always thought he was a little dim.
907;heat;emotion;Intense Emotions Are Heat;Intense Emotions Are Heat;The crowd was all fired up.
908;heat;emotion;Intense Emotions Are Heat;Intense Emotions Are Heat;He had a burning emotion.
920;drowning;defeat;Interaction Between Progress And External Events Affecting;Being Defeated Is Drowning;I'm just trying to keep my head above water.
921;drowning;defeat;Interaction Between Progress And External Events Affecting;Being Defeated Is Drowning;He's barely staying afloat.
923;drowning;defeat;Interaction Between Progress And External Events Affecting;Being Defeated Is Drowning;Try not to get in over your head.
943;musical harmony;relationship;Interpersonal Harmony Is Musical Harmony;Interpersonal Harmony Is Musical Harmony;They had a harmonious relationship.
944;musical harmony;relationship;Interpersonal Harmony Is Musical Harmony;Interpersonal Harmony Is Musical Harmony;Those two are really in synch.
945;musical harmony;relationship;Interpersonal Harmony Is Musical Harmony;Interpersonal Harmony Is Musical Harmony;They are out of tune with each other.
947;electrification;intoxication;Intoxication Is Becoming Electrified;Intoxication Is Becoming Electrified;He was wired.
948;electrification;intoxication;Intoxication Is Becoming Electrified;Intoxication Is Becoming Electrified;He was lit.
950;burden;intoxication;Intoxication Is Getting A Burden;Intoxication Is Getting A Burden;She was loaded.
951;burden;intoxication;Intoxication Is Getting A Burden;Intoxication Is Getting A Burden;She was tanked up.
952;destruction;intoxication;Intoxication Is Getting Destroyed;Intoxication Is Getting Destroyed;He is stoned.
953;destruction;intoxication;Intoxication Is Getting Destroyed;Intoxication Is Getting Destroyed;He is bombed.
954;destruction;intoxication;Intoxication Is Getting Destroyed;Intoxication Is Getting Destroyed;He got thrashed.
955;destruction;intoxication;Intoxication Is Getting Destroyed;Intoxication Is Getting Destroyed;He was wrecked.
959;container;investment;Investments Are Containers For Money;Investments Are Containers For Money;Put your money in bonds.
960;container;investment;Investments Are Containers For Money;Investments Are Containers For Money;The bottom of the economy dropped out.
961;container;investment;Investments Are Containers For Money;Investments Are Containers For Money;I'm down to my bottom dollar.
973;substance;laughter;Laughter Is A Substance;Potential Laughter Is A Substance Inside The Person;You can't get a single joke out of him.
978;substance;laughter;Laughter Is A Substance;Laughter May Burst Forth From The Person;The audience was bursting with laughter.
979;substance;laughter;Laughter Is A Substance;Laughter May Burst Forth From The Person;He was ripping with laughter.
988;fluid;light;Light Is A Fluid;Light Is A Fluid;Sunlight poured into the room.
990;fluid;light;Light Is A Fluid;Light Is A Fluid;He soaked up some sun.
991;fluid;light;Light Is A Fluid;Light Is A Fluid;Pools of light were scattered across the clearing.
996;line;light;Light Is A Line;Light Is A Line;rays of light
999;line;light;Light Is A Line;Light Is A Line;Direct more light over here.
1000;line;light;Light Is A Line;Light Is A Line;Where is that light coming from?
1011;path;logic;Logical Relations Are Causal Relations;Logical Arguments Are Paths To Solutions;Follow your reasoning where it takes you.
1013;path;logic;Logical Relations Are Causal Relations;Logical Arguments Are Paths To Solutions;This argument yields the following conclusions.
1014;path;logic;Logical Relations Are Causal Relations;Logical Arguments Are Paths To Solutions;Does your reasoning give you the answer you wanted?
1019;journey;life;Longterm Purposeful Activity Is A Journey;The Person Leading A Life Is A Traveler;I don't know where I'm headed, but I'm enjoying getting there.
1020;journey;life;Longterm Purposeful Activity Is A Journey;The Person Leading A Life Is A Traveler;He just sails through life.
1022;journey;life;Longterm Purposeful Activity Is A Journey;Longterm Purposes Are Journey Destinations;He's headed for great things.
1041;journey;love;Love Is A Journey;Progress In The Relationship Is Forward Motion;They are at a crossroads in their relationship.
1046;journey;love;Love Is A Journey;The Relationship Is A Moving Object.;This relationship has been spinning its wheels for years.
1047;journey;love;Love Is A Journey;The Relationship Is A Moving Object.;Their marriage has really gone off the track.
1048;part-whole;love;Love Is A Unity (of Two Complementary Parts);EMOTIONAL INTIMACY IS PHYSICAL CLOSENESS;We were made for each other.
1049;part-whole;love;Love Is A Unity (of Two Complementary Parts);EMOTIONAL INTIMACY IS PHYSICAL CLOSENESS;We are one.
1050;part-whole;love;Love Is A Unity (of Two Complementary Parts);EMOTIONAL INTIMACY IS PHYSICAL CLOSENESS;She is my better half.
1052;magic;love;Love Is Magic;Love Is Magic;The magic is gone.
1053;magic;love;Love Is Magic;Love Is Magic;She is bewitching.
1056;magic;love;Love Is Magic;Love Is Magic;She charmed him.
1057;possession;lover;Loved One Is A Possession;Loved One Is A Possession;My friend stole my loved one from me.
1058;possession;lover;Loved One Is A Possession;Loved One Is A Possession;You're all I've got.
1059;possession;lover;Loved One Is A Possession;Loved One Is A Possession;I'm going to get him back.
1064;heat;lust;Lust Is Heat;INTENSE EMOTIONS ARE HEAT;I'm hot to trot.
1065;heat;lust;Lust Is Heat;INTENSE EMOTIONS ARE HEAT;I'm burning with desire.
1066;heat;lust;Lust Is Heat;Lack Of Lust Is Coldness;She was frigid.
1067;machine;lust;Lustful Person Is An Activated Machine;Lustful Person Is An Activated Machine;You turn me on.
1068;machine;lust;Lustful Person Is An Activated Machine;Lustful Person Is An Activated Machine;I've got my motor runnin', baby.
1069;machine;lust;Lustful Person Is An Activated Machine;Lustful Person Is An Activated Machine;Turn my crank, baby.
1071;animal;lust;Lustful Person Is An Animal;Lustful Person Is An Animal;He's a real wolf.
1072;animal;lust;Lustful Person Is An Animal;Lustful Person Is An Animal;A tigress in bed.
1073;animal;lust;Lustful Person Is An Animal;Lustful Person Is An Animal;He looks like he's ready to pounce.
1098;accounting;thinking;Mental Accounting;Understanding The Causation Is Adding Up/figuring Out;I can put two and two together.
1099;accounting;thinking;Mental Accounting;Understanding The Causation Is Adding Up/figuring Out;This adds up to trouble.
1101;accounting;thinking;Mental Accounting;Explaining The Causation Is Accounting;How do you account for this fact?
1105;object;mind;Mind, Or Mental Self Is A Brittle Object;Mind, Or Mental Self Is A Brittle Object;He cracked up.
1106;object;mind;Mind, Or Mental Self Is A Brittle Object;Mind, Or Mental Self Is A Brittle Object;His mind snapped.
1107;object;mind;Mind, Or Mental Self Is A Brittle Object;Mind, Or Mental Self Is A Brittle Object;He's mentally fragile.
1111;liquid;money;Money Is A Liquid;Cash Is A Liquid;My money is all dried up.
